"","salary_max","redirect_url","contract_time","contract_type","longitude","title","created","description","salary_is_predicted","latitude","id","salary_min","location.display_name","company.display_name","category.label","category.tag"
"1",41835.98,"https://www.adzuna.co.uk/jobs/details/1861538414?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=AEFBF51302BAF9AC1CABDAECC324398683AABAC8","full_time","permanent",-0.793508,"Principal <strong>Statistician</strong>","2020-12-04T11:59:25Z","...  and talented Principal <strong>Statistician</strong> to provide statistical services including the analysis, design, interpretation and communication of <strong>data</strong> evidence for research and development and marketed ...  will require an experienced <strong>Statistician</strong> who can demonstrate advanced <strong>data</strong> analytic expertise and are effective in the use of computational tools for study, experiment or trial research ...","1",51.882057,"1861538414",41835.98,"Buckinghamshire, South East England","Carrot Recruitment","Scientific & QA Jobs","scientific-qa-jobs"
"2",22000,"https://www.adzuna.co.uk/jobs/details/1859879827?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=7BF53F1EFE2E1FE7B05B0A2028EF169F9B4F6A42","full_time","permanent",NA,"Associate <strong>Statistician</strong>","2020-12-03T16:52:32Z","Associate <strong>Statistician</strong> – Global Healthcare Market Research Agency – South Manchester - £20K – £22K plus bonus and benefits The Company An industry leading globally recognised ...  on training and development and want employees to progress within the organisation. The Role As the Associate <strong>Statistician</strong>, you will be joining a close nit team who are responsible providing ...","0",NA,"1859879827",20000,"Manchester, Greater Manchester","Carrot Recruitment","Scientific & QA Jobs","scientific-qa-jobs"
"3",31271.84,"https://www.adzuna.co.uk/jobs/land/ad/1835971885?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=8DD256CC232F5497848C447CDEB27DEF2F5D3571",NA,NA,-3.327942,"<strong>Statistician</strong> - Senior <strong>Statistician</strong>","2020-11-21T00:46:35Z","...  customers get new medicines to market. The Role Due to our continued growth and success we have an excellent career opportunity for a talented <strong>Statistician</strong> to join our <strong>Data</strong> Sciences ... , real time GMP manufacturing and clinical testing and <strong>data</strong> sciences. We pride ourselves on the quality of our services and our engaged culture. We are passionate about helping our ...","1",55.943116,"1835971885",31271.84,"Edinburgh, Scotland","Quotient Sciences","Scientific & QA Jobs","scientific-qa-jobs"
"4",35539.07,"https://www.adzuna.co.uk/jobs/details/1826758644?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=BDA47BE2864AFFC8B0DDDDC3F810382FCEAB0873","full_time","permanent",0.068741,"Snr <strong>Data</strong> <strong>Analyst</strong>","2020-11-16T17:38:59Z","Senior <strong>Data</strong> <strong>Analyst</strong> Does supporting world-class research and improving the lives of patients excite you? Our dynamic and internationally recognised research company Optimum ...  Patient Care is looking for a highly motivated <strong>data</strong> <strong>analyst</strong> to join our <strong>data</strong> team. In this role you will be working alongside our research and operational teams based in Cambridge ...","1",52.261398,"1826758644",35539.07,"Oakington, Cambridge","Optimum Patient Care","IT Jobs","it-jobs"
"5",55000,"https://www.adzuna.co.uk/jobs/land/ad/1842196834?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=955CA2E029E00C3D9FC1858AA0B7F85B268F92CF",NA,NA,-1.40323,"<strong>Statistician</strong> - Lead <strong>Statistician</strong> / Clinical Trials","2020-11-24T18:26:12Z","<strong>Statistician</strong> - Lead <strong>Statistician</strong> / Clinical Trials. My client are on the market looking for an experienced Lead <strong>Statistician</strong> to come and join an already existing team in carrying ...  as required. Essential: Strong analytical and problem solving skills, including the ability to select an appropriate methodology when analysing <strong>data</strong>. Skills in SPSS or similar statistical ...","0",50.904999,"1842196834",0,"Southampton, Hampshire","Capita","Scientific & QA Jobs","scientific-qa-jobs"
"6",60000,"https://www.adzuna.co.uk/jobs/land/ad/1876216534?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=424F4CEA1F6F0A7AC0B50F8AEF66B5CD7D47D9FC",NA,NA,NA,"Senior <strong>Statistician</strong>","2020-12-11T20:43:06Z","...  the boundaries of science to deliver life-improving medicines to patients. As a <strong>Statistician</strong> you will work with senior team in providing statistical support to clinical trial design, <strong>data</strong> ... Senior/Principal <strong>Statistician</strong> – Large Global Pharmaceutical Company – Home-based – Permanent – Salary up to £85,000 depending on experience Excellent opportunity to work ...","0",NA,"1876216534",40000,"UK","Rbw Consulting Limited","Scientific & QA Jobs","scientific-qa-jobs"
"7",85000,"https://www.adzuna.co.uk/jobs/land/ad/1876216162?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=13C738AF69114C90B5915AB5F4AEB790039FB9D8",NA,NA,NA,"Principal <strong>Statistician</strong>","2020-12-11T20:43:00Z","...  the boundaries of science to deliver life-improving medicines to patients. As a <strong>Statistician</strong> you will work with senior team in providing statistical support to clinical trial design, <strong>data</strong> ... Senior/Principal <strong>Statistician</strong> – Large Global Pharmaceutical Company – Home-based – Permanent – Salary up to £85,000 depending on experience Excellent opportunity to work ...","0",NA,"1876216162",60000,"UK","Rbw Consulting Limited","Scientific & QA Jobs","scientific-qa-jobs"
"8",144000,"https://www.adzuna.co.uk/jobs/land/ad/1876217570?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=7D3752BE191620027BD29CF4A9DCA43D992B7E1C",NA,NA,1.10638,"Senior <strong>Statistician</strong>","2020-12-11T20:43:26Z","CK Clinical are currently recruiting for a Senior <strong>Statistician</strong> to join a well renowned biometrics focussed Clinical Research Organisation. This is for a 12 months contract ...  position within the company, and is fully home based. Senior <strong>Statistician</strong> Role: Working on complex and diverse projects as the Lead <strong>Statistician</strong>, providing high quality clinical ...","0",52.377602,"1876217570",124800,"Diss, Norfolk","CK GROUP","Scientific & QA Jobs","scientific-qa-jobs"
"9",30198.41,"https://www.adzuna.co.uk/jobs/land/ad/1868074458?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=58B12734415ED3746358092C97820172E61C8AB5",NA,NA,-3.93588,"<strong>Statistician</strong>","2020-12-08T02:43:14Z","STEM recruitment solutions have a superb opportunity for a <strong>Statistician</strong> to join a fantastic rapidly expanding business in the central belt of Scotland. This job would suit either ...  a graduate who is looking to make their first step into the work environment through to an experienced <strong>Statistician</strong>. The company will provide an opportunity to work on cutting edge ...","1",56.1194,"1868074458",30198.41,"Stirling, County Stirling","Stem Recruitment Solutions","Scientific & QA Jobs","scientific-qa-jobs"
"10",153600,"https://www.adzuna.co.uk/jobs/land/ad/1858507166?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=898094B3697EBFC74B8148886356A4E02C79997F",NA,NA,NA,"Senior <strong>Statistician</strong>","2020-12-03T02:28:57Z","CK Group are recruiting for a Senior <strong>Statistician</strong> to join a company in the Pharmaceutical industry at their site based in Cambridge on a contract basis for 12 months. Company: Our ...  to share this with the scientific, healthcare and business communities within the UK. Location: This Senior <strong>Statistician</strong> role will be home based. Salary: £80 per hour, depending upon ...","0",NA,"1858507166",153600,"Eastern England, UK","CK GROUP","Scientific & QA Jobs","scientific-qa-jobs"
"11",163200,"https://www.adzuna.co.uk/jobs/land/ad/1860319108?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=52E1D826E8D0D83F032E051EB4BD4A1FFF4A39AB",NA,NA,-2.36398,"Senior <strong>Statistician</strong>","2020-12-03T23:16:58Z","CK Group are recruiting for a Senior <strong>Statistician</strong> to join a company in the Pharmaceutical industry at their site based in Cambridge on a contract basis for 12 months. Company: Our ...  to share this with the scientific, healthcare and business communities within the UK. Location: This Senior <strong>Statistician</strong> role will be based at our clients site in Cambridge. Salary: £80 ...","0",51.731701,"1860319108",153600,"Cambridge, Gloucester","CK GROUP","Healthcare & Nursing Jobs","healthcare-nursing-jobs"
"12",70000,"https://www.adzuna.co.uk/jobs/land/ad/1855391665?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=8E8A47545613C60C6016BD75D5F471E4FE6CC880",NA,NA,-0.749466,"Principal <strong>Statistician</strong>","2020-12-01T20:38:37Z","CK Group are recruiting for a Principal <strong>Statistician</strong> to join a Pharmaceutical company at their site based in High Wycombe on a permanent basis. Flexible home working is available ... . Qualifications: · Ideally a PhD or MSc in Statistics or related field. · Strong proven experience as a <strong>statistician</strong> within the pharmaceutical. · Experience leading experimental design, modeling ...","0",51.628799,"1855391665",0,"High Wycombe, Buckinghamshire","CK GROUP","Scientific & QA Jobs","scientific-qa-jobs"
"13",20400,"https://www.adzuna.co.uk/jobs/land/ad/1858507487?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=E58B96BFE9C16E09882998EAD5E3255F6C91F8E3",NA,NA,-0.02806,"Contract <strong>Statistician</strong>","2020-12-03T02:29:11Z","...  for a highly experienced <strong>Statistician</strong> to join them at the Project Lead/Associate Director level on a 12 month contract. The role lies within the heart of the business major portfolios which ...  activities Oversee internal and external <strong>statisticians</strong> in the delivery of analysis and reporting Interpret and present clinical trial results. What you'll need to succeed A Statistics ...","0",51.451818,"1858507487",18000,"South East London, London","Hays Life Sciences","Scientific & QA Jobs","scientific-qa-jobs"
"14",43142.27,"https://www.adzuna.co.uk/jobs/land/ad/1876135872?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=9D4CE0B6A7BB6B13F82BD02EF9125DBFD80E9A48",NA,NA,-0.12707,"Senior Business <strong>Analyst</strong>","2020-12-11T19:44:22Z","...  Grade 9. The salary range will be £59,135 - £62,346 per annum, inclusive of London Allowance. Information Services Division IT for SLMS Brain Sciences London Senior Business <strong>Analyst</strong> ...  <strong>Analyst</strong> will be responsible for supporting senior stakeholders in shaping business needs and translating these into desired outcomes and solutions. Their role will involve documenting ...","1",51.528277,"1876135872",43142.27,"Somers Town, North West London","University College London","IT Jobs","it-jobs"
"15",45000,"https://www.adzuna.co.uk/jobs/details/1867459606?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=F715B6F7C05C3618BA6282369F8AE04085BEF90C","full_time","permanent",-0.139134,"Technical <strong>analyst</strong>","2020-12-07T19:11:58Z","Our client, a global provider of IT services, require GCP Lead Engineers/Technical <strong>Analysts</strong>, ideally with a background in <strong>data</strong> migration within a banking domain, to join ...  their <strong>Data</strong> Engineering team in London. We require candidates who have technical Google Cloud Platform experience with analysis and technical document design skills to assist ...","0",51.503378,"1867459606",35000,"London, UK","svitservices","IT Jobs","it-jobs"
"16",65,"https://www.adzuna.co.uk/jobs/land/ad/1860324454?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=D826AFB009F5C33789BF3BB6EA8D419B7B7E8A01",NA,NA,-1.89359,"Senior <strong>Statistician</strong>","2020-12-03T23:18:51Z","...  will have a full FTE available and be happy to work 100% home-based anywhere in the UK. Areas of responsibility include: Performing the <strong>Statistician</strong> role for assigned projects ...  to proposals, contracts and meetings Experience and skills required: Strong analytical and <strong>data</strong> interpretation skills Statistical expertise in a variety of therapeutic areas Statistical ...","0",52.483002,"1860324454",55,"Birmingham, West Midlands","AL2S3 Ltd ","Scientific & QA Jobs","scientific-qa-jobs"
"17",24407.18,"https://www.adzuna.co.uk/jobs/land/ad/1867216474?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=4D881933835E7C47E11EA1F509E5FCE03342EF36",NA,NA,NA,"Telephone Billing <strong>Analyst</strong> / <strong>Data</strong> <strong>Analyst</strong> / Business <strong>Analyst</strong>","2020-12-07T16:40:12Z","...  <strong>analyst</strong>, MI <strong>Analyst</strong>, MI <strong>Data</strong> <strong>Analyst</strong>, Business Insight <strong>Analyst</strong>, <strong>Data</strong> Insight <strong>Analyst</strong>, <strong>Data</strong> mining, <strong>Data</strong> modelling, <strong>Statistician</strong>, Econometrics, <strong>Data</strong> Modelling will also be considered ... Job Title: Telephone Billing <strong>Analyst</strong> Location: City of London Salary: Competitive Job Type: Full Time, P…","1",NA,"1867216474",24407.18,"The City, Central London","Dataquest UK Ltd","IT Jobs","it-jobs"
"18",59118.18,"https://www.adzuna.co.uk/jobs/land/ad/1857412750?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=D586E7EFEB612BCE3786E153A8FC1AD5472C33F4",NA,NA,-2.36398,"Global Product <strong>Statistician</strong>","2020-12-02T16:34:01Z","Global Product <strong>Statistician</strong> (Senior/Associate Director) Contract - Ltd/Umbrella/PAYE considered Duration - 12 Months Location - Fully remote Our Clients early-phase oncology ...  and shape the way they work. We are currently looking for an experienced <strong>Statistician</strong> to work at the heart of their early-phase clinical project teams. Your proven statistical expertise ...","1",51.731701,"1857412750",59118.18,"Cambridge, Gloucester","Cpl Life Sciences","Scientific & QA Jobs","scientific-qa-jobs"
"19",30000,"https://www.adzuna.co.uk/jobs/details/1859490426?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=DED4ED567F013BF79C8BD5A967AD7D01D7245F2C","full_time","permanent",-0.139134,"Campaign <strong>Analyst</strong>","2020-12-03T12:34:34Z","Job Title - Campaign <strong>Analyst</strong> Salary - 26-30k Location - Fulham, UK  Remote About us: Adzuna is a job search engine that lists every job, everywhere. From launch in the UK in 2011 ...  jobs. The role: Adzuna’s success to date has been down to the skills, hard work and determination of the brilliant people we have hired. Right now, we're seeking a Campaign <strong>Analyst</strong> to deliver ...","0",51.503378,"1859490426",26000,"London, UK","Adzuna","PR, Advertising & Marketing Jobs","pr-advertising-marketing-jobs"
"20",24592.34,"https://www.adzuna.co.uk/jobs/land/ad/1872127843?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=324AF478BEB3C286057424E65E78EE604EF77F84","full_time",NA,-0.139134,"Telephone Billing <strong>Analyst</strong> / <strong>Data</strong> <strong>Analyst</strong> / Business <strong>Analyst</strong>","2020-12-09T23:14:39Z","...  <strong>analyst</strong>, MI <strong>Analyst</strong>, MI <strong>Data</strong> <strong>Analyst</strong>, Business Insight <strong>Analyst</strong>, <strong>Data</strong> Insight <strong>Analyst</strong>, <strong>Data</strong> mining, <strong>Data</strong> modelling, <strong>Statistician</strong>, Econometrics, <strong>Data</strong> Modelling will also be considered ... Job Title: Telephone Billing <strong>Analyst</strong> Location: City of London Salary: Competitive Job Type: Full Time, P…","1",51.503378,"1872127843",24592.34,"London, UK","BLUETOWNONLINE","IT Jobs","it-jobs"
"21",40730.52,"https://www.adzuna.co.uk/jobs/details/1864182992?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=A914F5F3C3EC1F0D3E78D3D56FA14A1012072AB7","full_time",NA,-0.139134,"<strong>Statistician</strong>","2020-12-05T21:21:52Z","We’re looking for an exceptional <strong>Data</strong> Scientist / <strong>Statistician</strong>. Reporting to the Lead <strong>Data</strong> Scientist, you’ll support the continuing development and improvement of our decision ...  science capability, with a particular emphasis on enhancing our <strong>data</strong> structures, delivery of key <strong>data</strong> initiatives, as well as supporting the wider business as a subject matter expert ...","1",51.503378,"1864182992",40730.52,"London, UK","Salary Finance","IT Jobs","it-jobs"
"22",50000,"https://www.adzuna.co.uk/jobs/land/ad/1876215921?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=A755699B8BD08F92A8182E34E05DBF2D6ABB0C56",NA,NA,-0.11126,"Senior <strong>Statistician</strong> - Various locations","2020-12-11T20:42:55Z","...  companies with the ambition to enable individuals to accomplish more and carve their career own career path with exceptional work-life balance. Come and join an exciting new era of <strong>Data</strong> ...  Science in the world of healthcare and drug discovery, as Erick Semerene is looking to speak with <strong>Statisticians</strong> about a very exciting Senior <strong>Statistician</strong> role with a world leading CRO ...","0",51.51985,"1876215921",40000,"Central London, London","RBW Consulting Solutions Ltd","Scientific & QA Jobs","scientific-qa-jobs"
"23",26590,"https://www.adzuna.co.uk/jobs/land/ad/1858203414?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=2B1A9E0306156DE5C0864CA752891BDF8DF6D73B",NA,"permanent",NA,"Intelligence Support <strong>Statistician</strong> / <strong>Analyst</strong>","2020-12-02T23:15:10Z","Your new role As an Intelligence Support <strong>Statistician</strong> / <strong>Analyst</strong> you will be responsible for supporting <strong>Analysts</strong> and <strong>Statisticians</strong> within the Performance Analysis Unit (PAU ... ), as well as the wider Chief <strong>Analyst’s</strong> Division, helping to support evidence based decision making within Highways England. As part of the PAU you will be involved in the production ...","0",NA,"1858203414",25324,"Manchester, Greater Manchester","Highways England","IT Jobs","it-jobs"
"24",26590,"https://www.adzuna.co.uk/jobs/land/ad/1858203118?se=yFmNBws96xGlB-80Ca-FxQ&utm_medium=api&utm_source=953c7802&v=88B634926C8A09808697DBFB2C0A078E347E5783",NA,"permanent",NA,"Intelligence Support <strong>Statistician</strong> / <strong>Analyst</strong>","2020-12-02T23:15:06Z","Your new role As an Intelligence Support <strong>Statistician</strong> / <strong>Analyst</strong> you will be responsible for supporting <strong>Analysts</strong> and <strong>Statisticians</strong> within the Performance Analysis Unit (PAU ... ), as well as the wider Chief <strong>Analyst’s</strong> Division, helping to support evidence based decision making within Highways England. As part of the PAU you will be involved in the production ...","0",NA,"1858203118",25324,"Birmingham, West Midlands","Highways England","IT Jobs","it-jobs"
