"","latitude","redirect_url","id","created","longitude","title","description","salary_is_predicted","contract_time","category.label","category.tag","company.display_name","location.display_name","location.__CLASS__","contract_type","salary_max","salary_min"
"1",34.286167,"https://www.adzuna.com/land/ad/1862759031?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=BE18102E7FAA1AA3723854BC76BA9F9514640445","1862759031","2020-12-04T21:57:07Z",-118.434585,"Data Analyst/Statistician","Great opportunity for a Statistician/ Analyst with clinical research experience.In this position you will provide in-depth statistical expertise in the areas of; experiment ... , protocol, case report form design, data base structure, and analysis plan; collaborate with the medical groups to complete joint scientific reports.Must have clinical research experience ...","0",NA,"Healthcare & Nursing Jobs","healthcare-nursing-jobs","Volt","San Fernando, Los Angeles County","Adzuna::API::Response::Location",NA,NA,NA
"2",NA,"https://www.adzuna.com/land/ad/1827942981?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=774AEDA3315B937DEC1C9F0F8A98A2D70E7DFC95","1827942981","2020-11-17T00:55:11Z",NA,"Program Analyst - Statistician","Overview Credence Management Solutions, LLC (Credence) is seeking a Program Analyst to support the NGB program at Andrews AFB (NCR) in Maryland. Responsibilities Provide knowledge ...  of statistical data analysis, modeling, simulation, optimization, and analytical capability to support the Government in developing and implementing standard, performance-management measures ...","0","full_time","Scientific & QA Jobs","scientific-qa-jobs","Credence Management Solutions","US","Adzuna::API::Response::Location",NA,NA,NA
"3",37.761957,"https://www.adzuna.com/land/ad/1845570761?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=60CB2250BA76AB7128ED14E1566BDBCFA1BBEADC","1845570761","2020-11-26T05:39:02Z",-122.395222,"Statistician","Category: Science Lab/Area: Bioinformatics Core Description: We are seeking a talented Statistician at either junior or senior levels to join the dynamic bioinformatics/data ...  assessment and result reporting or publication. You will be working with a variety of data types generated by various platforms and technologies (eg, genome sequencing, bulk RNA-seq, single ...","0",NA,"Scientific & QA Jobs","scientific-qa-jobs","Gladstone Institutes","Potrero Hill, San Francisco","Adzuna::API::Response::Location",NA,NA,NA
"4",38.906704,"https://www.adzuna.com/land/ad/1870238826?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=31EA75C42E381EC8E38984983ECB52F86675031B","1870238826","2020-12-08T20:36:30Z",-77.041912,"Operations Research Analyst/Statistician","...  Research Analyst or StatisticianParticipating as an analyst in full range of quantitatively oriented studies that may involve highly sensitive issues of major importance to Secret Service ...  level apply analytical developments, methodologies, and determining methods of data collection, verification, adjustment and weighing of data.GS-14: You qualify for the GS-14 level ...","0",NA,"IT Jobs","it-jobs","Department of Homeland Security","Washington, Montgomery County","Adzuna::API::Response::Location",NA,NA,NA
"5",39.206658,"https://www.adzuna.com/land/ad/1849514491?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=66F52593B438C28E8CDC80B712D32C3F4CE3F0F1","1849514491","2020-11-28T11:02:10Z",-76.883626,"Junior Data Analyst/Statistician","YOUR ROLE: As a Data Analyst / Statistician, your role is to follow the data: analyze, visualize, and review. You will work to reconcile quality reporting data from separate data ...  collection systems for each provider to determine compliance with CMS quality reporting requirements, through data analytic methodologies. You will perform data analysis to suppor…","0",NA,"IT Jobs","it-jobs","CORMAC","Columbia, Howard County","Adzuna::API::Response::Location",NA,NA,NA
"6",37.798085,"https://www.adzuna.com/land/ad/1820825882?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=F617E519F3EFFB5E64716D4C2D0BA1AE3B3A5E3C","1820825882","2020-11-13T12:29:45Z",-122.466538,"Statistician","The Statistician will work with a group of collegial, innovative, productive health outcomes researchers in Integrative Health, Medicine and Psychiatry services at the San ...  Francisco VA Health Care System (affiliated with the University of California, San Francisco). He/she will work on secondary data analyses, clinical trials and quality improvement research ...","0",NA,"Scientific & QA Jobs","scientific-qa-jobs","Veterans Health Research Institute","San Francisco, California","Adzuna::API::Response::Location",NA,NA,NA
"7",42.283733,"https://www.adzuna.com/land/ad/1862766726?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=168796D9A99DD1E67806F20CFCDE44B739EA3650","1862766726","2020-12-04T21:57:52Z",-87.858376,"Statistician",", currently has an opportunity for a Statistician. This new team member will provide appropriate statistical input into study design and analysis of data along with ensuring accuracy ...  of programs and documents. The Statistician will participate in statistical or process related presentations to customers. WHAT YOULL DOStudy Preparation: Meets with CRA, R, Instrumentation ...","0",NA,"Scientific & QA Jobs","scientific-qa-jobs","Abbott Laboratories","Lake Bluff, Lake County","Adzuna::API::Response::Location",NA,NA,NA
"8",41.868494,"https://www.adzuna.com/land/ad/1853773469?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=A5B737F7A2DF4AB6D1D21C57FDC918A348E6BF15","1853773469","2020-12-01T00:46:15Z",-87.673975,"Statistician","...  enforcement veterans, have ambition and passion for creating a safer world. Join us to Secure Success RESPONSIBILITIES The Statistician will execute responsibilities that require ...  professional knowledge of statistics to include, but not limited to, collecting and interpreting data, data analysis, forecasting, trends, and predictions. Apply statistical theories ...","0",NA,"Scientific & QA Jobs","scientific-qa-jobs","Constellis","Illinois Medical District, Chicago","Adzuna::API::Response::Location",NA,NA,NA
"9",32.872152,"https://www.adzuna.com/land/ad/1877878007?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=67C99FB7B560DC0E5234DFB5E2CE3A65DDD9F61D","1877878007","2020-12-12T15:11:16Z",-96.996093,"Statistician II","Description:  This position is NonExempt.  Hours over 40 will be paid at Time and a Half.  Extract data from batch records, compile statistical data, create variance reports using ...","0",NA,"Scientific & QA Jobs","scientific-qa-jobs","Horizontal","Irving, Dallas","Adzuna::API::Response::Location",NA,NA,NA
"10",NA,"https://www.adzuna.com/land/ad/1847466309?se=5mN2mTo96xG1pu5faT_adg&utm_medium=api&utm_source=953c7802&v=6E9AE9D3517069AD125B54EB04BF203259D01AB5","1847466309","2020-11-27T05:31:59Z",NA,"Principal Statistician","...  design, statistical analysis and data interpretation. Act as lead statistician for multiple projects and participate in reviewing and writing study protocols and technical reports ...  form of amyotrophic lateral sclerosis caused by mutations in the superoxide dismutase 1 (SOD1) gene. The Principal Statistician within the Biometrics-Statistics group will function ...","0",NA,"Scientific & QA Jobs","scientific-qa-jobs","Novartis Gene Therapies","US","Adzuna::API::Response::Location",NA,NA,NA
