"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",4,17,4,7,12,6,2,38,10,54
"2",1,6,0,2,4,1,1,11,4,25
"3",7,23,4,10,15,6,3,46,14,60
"4",0,8,0,1,5,2,2,15,1,22
"5",2,11,2,3,8,2,1,20,5,33
"6",3,16,2,4,9,5,4,29,11,43
"7",2,8,1,3,3,3,1,18,5,28
"8",8,10,1,13,5,6,6,18,18,30
"9",2,11,2,3,8,2,1,20,5,33
"10",1,13,1,1,9,0,4,23,3,37
"11",3,15,2,4,10,4,2,26,9,42
"12",2,18,0,2,9,4,3,20,6,33
"13",2,14,2,5,11,3,2,21,6,37
"14",4,8,2,3,5,2,0,17,10,34
"15",3,12,0,5,10,5,3,26,9,35
"16",5,12,2,7,13,4,4,26,15,58
"17",1,12,1,1,7,1,1,17,4,31
"18",0,6,0,2,5,1,4,17,4,37
"19",1,14,0,2,5,4,2,22,7,41
"20",5,10,3,5,5,5,0,25,9,34
"21",2,8,1,2,7,2,2,15,4,32
"22",0,5,0,0,2,0,0,5,3,12
"23",2,10,0,2,7,2,3,20,7,45
"24",0,9,0,2,7,0,1,16,2,33
"25",3,15,3,3,13,5,3,42,9,64
"26",2,17,2,5,11,2,2,27,7,48
"27",0,13,1,0,11,2,4,20,1,34
"28",5,18,4,5,14,6,3,35,10,59
"29",3,14,2,4,10,3,1,24,7,39
"30",2,12,2,2,9,2,1,26,5,42
"31",1,10,1,3,6,1,1,17,5,33
"32",2,9,0,3,7,2,1,19,6,28
"33",3,15,3,3,13,5,3,42,9,64
"34",3,18,1,4,7,3,2,36,7,56
"35",3,19,1,2,13,4,8,29,11,56
"36",2,12,2,2,8,3,1,20,6,34
"37",0,12,4,1,6,1,3,24,7,37
"38",1,5,1,4,5,3,0,16,10,34
"39",3,10,1,3,9,3,7,23,5,35
"40",2,10,1,2,8,1,1,22,4,35
"41",3,10,1,4,4,3,3,16,6,31
"42",1,12,0,2,7,2,6,21,6,45
"43",4,7,3,6,8,3,0,23,11,35
"44",1,7,0,1,8,2,1,19,4,42
"45",0,5,0,1,5,0,1,10,1,20
"46",9,16,5,8,10,7,2,29,15,51
"47",2,12,2,3,6,3,3,23,5,42
"48",3,14,3,6,7,2,1,35,9,48
"49",4,15,3,5,9,3,0,27,7,41
"50",4,10,2,5,6,4,1,31,7,45
"51",5,17,5,9,13,7,2,41,19,61
"52",2,17,2,5,11,2,2,27,7,48
"53",1,11,0,3,10,3,5,22,7,45
"54",4,6,2,4,7,3,2,17,6,24
"55",2,6,1,2,6,3,0,19,4,29
"56",1,12,0,2,7,2,6,21,6,45
"57",1,7,0,0,2,2,1,14,3,28
"58",4,18,2,4,14,3,5,42,11,60
"59",4,17,4,6,10,4,1,29,10,38
"60",3,11,1,2,6,2,5,20,6,39
"61",3,8,1,4,4,3,0,16,7,28
"62",2,12,2,2,9,2,5,23,6,47
"63",5,11,2,7,9,3,1,28,12,42
"64",2,11,0,3,6,4,3,17,7,29
"65",4,21,3,5,10,3,1,27,9,40
"66",4,16,4,3,8,3,0,27,7,41
"67",2,7,0,3,6,2,2,16,7,37
"68",2,11,2,3,8,2,1,20,5,33
"69",0,6,0,2,8,2,2,18,3,39
"70",3,13,3,5,9,5,1,31,11,49
"71",0,2,0,0,2,1,1,6,3,9
"72",2,25,0,2,16,2,8,27,6,59
"73",0,6,0,1,5,1,1,16,3,34
"74",0,17,0,2,9,2,2,28,8,57
"75",3,13,3,5,9,5,1,31,11,49
"76",2,11,0,3,5,4,4,25,10,47
"77",2,14,3,3,8,6,4,23,8,42
"78",2,8,1,2,6,4,3,20,5,34
"79",3,12,2,5,7,5,3,21,9,33
"80",2,8,0,2,4,2,1,18,6,34
"81",5,12,2,7,12,5,3,24,8,46
"82",2,14,0,3,13,2,4,22,9,49
"83",1,8,0,2,5,1,3,17,4,29
"84",0,12,0,3,9,1,5,25,3,48
"85",7,17,3,5,14,5,4,40,16,64
"86",2,17,2,3,14,4,3,25,6,46
"87",2,17,2,5,11,2,2,27,7,48
"88",3,9,0,4,5,3,2,21,8,52
"89",5,17,3,7,8,4,2,29,9,41
"90",1,13,1,2,9,0,3,17,5,39
"91",0,9,0,3,7,0,2,17,3,40
"92",3,12,4,4,11,4,2,25,8,43
"93",0,6,0,2,5,1,4,17,4,36
"94",6,7,1,6,9,5,1,25,12,35
"95",1,19,1,3,12,4,5,28,7,46
"96",0,11,0,3,7,1,2,15,4,37
"97",2,8,1,4,7,4,2,16,7,34
"98",2,17,2,3,14,4,3,25,6,46
"99",5,17,2,6,10,3,2,31,9,58
"100",3,16,2,4,9,5,4,29,11,43
"101",0,6,0,2,5,1,4,17,4,36
"102",3,12,3,3,12,4,0,28,8,43
"103",0,12,0,3,8,0,2,17,3,38
"104",2,10,2,3,8,2,1,21,5,33
"105",3,22,3,8,11,3,2,30,8,51
"106",6,14,2,5,9,3,5,25,10,52
"107",3,14,1,3,10,2,4,29,5,38
"108",3,13,3,5,9,5,1,31,11,49
"109",1,15,0,4,9,2,5,25,6,52
"110",2,15,2,3,12,1,5,22,6,45
"111",4,6,1,5,7,2,2,24,6,35
"112",3,18,2,4,11,4,2,22,6,36
"113",3,17,3,4,13,2,4,34,8,48
"114",2,20,1,2,11,4,3,22,8,48
"115",1,12,0,2,7,2,6,21,6,45
"116",0,18,0,2,9,2,2,28,8,58
"117",1,14,0,3,8,2,5,22,5,42
"118",2,17,2,5,11,2,2,27,7,48
"119",0,9,0,3,7,0,2,17,3,40
"120",4,10,1,4,5,4,3,22,10,46
"121",2,14,3,4,7,3,0,30,8,46
"122",3,11,3,4,8,1,7,27,8,41
"123",3,13,2,5,9,4,1,31,11,45
"124",1,12,0,3,8,2,4,21,6,45
"125",2,6,2,5,6,3,0,19,7,28
"126",3,12,2,3,8,3,1,21,7,34
"127",0,12,0,3,8,0,2,17,3,38
"128",0,12,0,3,8,0,2,17,3,38
"129",5,11,2,7,9,3,1,28,12,42
"130",3,14,3,5,9,4,2,33,8,40
"131",1,6,0,1,1,3,2,17,6,34
"132",1,14,1,4,8,2,4,21,5,39
"133",5,11,2,7,9,3,1,28,12,42
"134",1,10,0,4,8,1,2,17,1,32
"135",2,17,2,5,11,2,2,27,7,48
"136",0,2,0,0,2,1,1,6,3,9
"137",4,14,3,5,10,5,1,29,7,45
"138",3,13,3,5,8,4,3,25,6,55
"139",3,17,3,4,12,2,3,26,9,50
"140",3,14,3,6,7,2,1,35,9,48
"141",5,17,2,6,12,3,1,33,11,53
"142",5,18,3,5,10,5,1,25,10,42
"143",3,15,3,3,8,3,2,25,8,41
"144",4,14,2,4,12,3,3,33,13,44
"145",4,14,3,4,8,4,0,20,9,33
"146",2,15,2,6,8,3,5,25,7,44
"147",3,9,1,1,6,1,1,21,4,37
"148",5,18,3,4,12,5,3,33,8,46
"149",2,17,2,5,11,2,2,28,7,48
"150",2,6,2,5,6,3,0,19,7,28
"151",3,20,2,1,14,1,5,32,7,56
"152",2,9,0,1,2,2,1,12,6,26
"153",5,16,3,7,9,6,3,28,10,44
"154",3,22,3,8,11,3,2,30,8,51
"155",0,6,0,2,5,1,4,17,4,36
"156",2,12,1,4,8,4,1,26,8,41
"157",3,12,2,5,9,6,3,33,11,50
"158",2,10,2,3,8,2,1,21,5,32
"159",1,7,1,2,4,3,0,21,6,38
"160",0,12,0,3,8,0,2,17,3,38
"161",1,12,0,2,7,2,6,21,6,45
"162",4,16,1,8,8,3,3,29,11,44
"163",3,16,2,3,11,3,1,24,6,34
"164",2,17,2,5,11,2,2,27,7,49
"165",3,16,3,2,12,2,0,25,8,40
"166",0,2,0,3,4,1,0,10,3,17
"167",1,10,1,3,6,1,1,17,5,33
"168",2,6,2,5,6,3,0,19,7,28
"169",3,13,3,5,8,4,1,22,7,34
"170",1,13,0,3,7,3,6,21,7,37
"171",5,13,4,6,11,6,1,33,10,47
"172",4,7,3,6,8,3,0,23,11,35
"173",6,17,3,5,11,4,1,34,10,54
"174",4,11,3,4,8,4,1,26,8,38
"175",3,13,3,5,9,5,1,31,11,49
"176",2,17,2,5,11,2,2,27,7,48
"177",2,6,2,5,6,3,0,19,7,28
"178",2,14,2,4,8,2,3,33,8,50
"179",1,19,0,6,15,1,5,22,6,49
"180",6,17,3,6,10,5,1,36,13,51
"181",3,17,3,2,12,2,0,29,10,47
"182",2,6,1,4,6,1,3,13,4,22
"183",4,12,3,4,10,4,1,38,8,54
"184",2,10,2,3,8,2,1,21,5,33
"185",3,6,1,5,7,4,3,20,8,34
"186",3,11,2,4,6,4,2,25,9,35
"187",0,10,0,1,8,1,3,21,2,34
"188",3,15,3,3,8,3,2,25,8,41
"189",4,17,3,4,8,4,1,26,7,38
"190",1,14,1,4,8,2,4,21,5,39
"191",2,17,2,5,11,2,2,27,7,48
"192",5,7,4,5,5,3,0,23,11,30
"193",2,6,2,5,6,3,0,19,7,28
"194",3,17,3,4,12,2,3,26,9,50
"195",0,13,1,0,11,2,4,21,1,34
"196",2,11,2,3,8,2,1,20,5,33
"197",3,15,2,4,10,4,2,26,9,42
"198",1,15,3,4,8,2,7,27,4,47
"199",0,11,0,2,7,1,1,23,6,44
"200",3,17,1,3,9,2,4,24,10,45
"201",2,13,0,4,9,3,1,30,10,53
"202",2,6,2,5,6,3,0,19,7,28
"203",3,12,2,3,8,3,1,21,7,34
"204",4,12,1,4,8,5,1,27,11,50
"205",1,12,0,2,7,2,6,21,6,45
"206",2,17,2,5,11,2,2,27,7,48
