"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,1,0,0,0,0,1,7,0,8
"2",0,3,0,0,3,0,1,5,0,5
"3",0,6,0,0,5,0,0,4,0,11
"4",1,3,0,1,1,0,2,3,0,7
"5",0,0,0,1,0,1,0,3,1,6
"6",0,3,0,0,3,0,0,6,0,7
"7",0,3,0,0,3,0,0,6,0,7
"8",0,1,0,0,1,0,0,2,1,7
"9",2,1,1,2,0,1,0,2,2,6
"10",0,2,0,0,2,0,0,3,0,5
"11",0,2,0,0,2,0,0,3,0,5
"12",0,0,0,0,0,0,0,4,0,4
"13",0,3,0,0,2,0,2,6,0,10
"14",0,2,0,0,1,0,0,4,0,6
"15",0,0,0,0,0,0,0,2,0,3
"16",0,1,0,0,2,0,0,4,0,5
"17",0,3,0,0,1,0,0,3,0,5
"18",0,0,0,0,0,0,0,7,0,6
"19",0,5,0,0,3,0,0,5,0,8
"20",0,3,0,0,1,0,0,3,0,5
"21",0,2,0,0,1,0,0,4,1,6
"22",0,3,0,0,3,0,1,3,0,8
"23",0,2,0,1,1,0,0,4,0,5
"24",0,2,0,1,1,0,0,4,0,5
"25",0,4,0,0,2,0,1,6,0,10
"26",0,6,0,0,5,0,0,4,0,11
"27",0,0,0,0,0,0,0,4,1,5
"28",0,0,0,0,0,0,0,4,1,5
"29",0,0,0,0,0,0,0,4,1,5
"30",0,5,0,1,3,0,1,9,0,9
"31",0,1,0,0,1,0,0,4,0,7
"32",0,1,0,0,1,0,0,4,0,7
"33",0,1,0,0,1,0,0,4,0,7
"34",0,2,0,0,0,0,0,2,0,4
"35",1,3,0,1,1,1,1,4,1,5
"36",0,2,0,0,1,0,0,5,0,6
"37",0,2,0,0,1,0,0,3,0,5
"38",0,2,0,0,1,0,1,4,0,3
"39",2,1,1,2,0,1,0,2,2,6
"40",0,1,0,1,0,0,0,4,1,3
"41",0,2,0,0,0,0,0,2,0,2
"42",1,2,0,2,2,0,0,3,1,5
"43",0,5,0,0,2,0,1,3,1,7
"44",0,5,0,0,1,0,2,3,0,7
"45",0,5,0,1,2,0,1,3,1,9
"46",1,3,1,0,2,0,2,2,1,5
"47",1,3,1,1,3,1,0,5,1,9
"48",0,2,0,0,0,0,0,6,1,8
"49",0,3,0,0,0,0,0,2,0,3
"50",0,2,0,1,2,0,1,4,0,4
"51",0,1,0,0,0,0,0,2,0,4
"52",0,2,0,0,0,0,0,4,0,4
"53",0,3,0,0,1,0,0,4,0,7
"54",0,2,0,0,1,0,0,4,0,4
"55",0,4,0,0,3,0,1,3,0,5
"56",0,3,0,0,0,0,0,2,0,4
"57",0,3,0,1,0,0,0,4,0,7
"58",0,1,0,0,0,0,0,2,0,3
"59",0,1,0,0,1,0,0,2,0,4
"60",0,2,0,0,2,0,0,3,0,5
"61",0,2,0,0,2,0,0,3,0,5
"62",0,5,0,2,3,1,2,5,1,8
"63",1,2,0,2,2,0,0,3,1,5
"64",0,3,0,0,0,0,0,1,1,7
"65",0,3,0,0,2,0,0,3,0,5
"66",0,1,0,0,1,0,1,3,0,2
