"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,5,0,2,0,1,1,9,1,8
"2",0,1,0,1,0,0,0,5,1,5
"3",0,1,0,0,0,0,2,1,0,3
"4",0,2,0,0,0,0,0,4,0,6
"5",0,1,0,0,0,0,0,2,0,2
"6",0,1,0,0,1,0,0,2,0,4
"7",0,2,0,0,0,0,0,4,0,3
"8",1,3,0,0,3,1,0,4,2,7
"9",0,1,0,0,1,0,0,1,0,1
"10",0,0,0,0,0,0,0,2,0,3
"11",0,1,0,0,1,0,2,4,0,3
"12",0,0,0,0,0,0,0,4,0,5
"13",0,0,0,0,0,0,0,4,0,5
"14",0,3,0,1,0,0,0,3,1,2
"15",0,1,0,0,0,0,0,2,0,3
"16",0,3,0,2,0,0,0,6,1,8
"17",0,0,0,1,0,0,0,1,1,5
"18",0,2,0,0,0,0,0,3,0,4
"19",0,2,0,0,0,0,0,3,0,4
"20",1,0,0,1,1,1,0,5,1,3
"21",0,3,0,2,1,0,0,2,1,5
"22",0,3,0,2,1,0,0,3,1,6
"23",0,4,0,1,2,0,1,6,0,7
"24",0,1,0,1,0,1,0,5,1,6
"25",0,1,0,1,0,1,0,5,1,6
"26",0,1,0,0,0,0,0,2,0,4
"27",1,3,1,0,2,0,0,5,1,7
"28",0,6,0,1,2,0,1,7,1,8
"29",0,3,0,0,0,0,0,2,0,3
"30",0,3,0,0,2,0,1,6,0,6
"31",0,1,0,0,0,0,0,4,0,4
"32",0,2,0,1,1,0,1,7,0,6
"33",0,1,0,1,0,0,0,4,1,4
"34",0,0,0,1,0,0,1,4,2,4
"35",0,0,0,0,0,0,0,4,0,4
"36",0,2,0,0,1,0,0,5,2,5
"37",0,3,0,0,2,0,1,6,0,6
"38",0,0,0,1,0,0,0,2,1,6
"39",0,3,0,1,1,0,1,5,0,8
"40",0,3,0,0,1,0,0,4,0,5
"41",1,1,1,2,1,1,0,6,1,7
"42",0,2,0,0,2,0,1,4,0,4
"43",0,0,0,0,0,0,0,0,0,1
"44",1,2,0,1,1,2,0,2,1,4
"45",0,0,0,0,0,0,0,2,0,2
"46",0,2,0,0,1,0,0,4,0,4
"47",0,4,0,0,4,0,0,8,0,9
"48",1,1,1,0,0,0,0,2,1,2
"49",1,1,0,1,0,1,0,5,1,4
"50",0,2,0,1,0,0,0,4,1,1
"51",0,2,0,1,1,0,0,5,0,7
"52",0,1,0,0,0,0,0,3,0,3
"53",0,1,0,0,0,0,0,3,0,3
"54",1,1,1,2,1,1,0,6,1,7
"55",0,2,0,1,0,0,0,3,1,5
"56",0,2,0,0,1,0,1,4,1,4
"57",0,0,0,0,0,0,0,2,1,1
"58",1,1,1,2,1,1,0,6,1,6
"59",0,1,0,0,0,0,0,6,0,7
